t_rel_s,d2
34.9337,0
34.9697,0
34.9834,0
34.9938,0
35.0232,0
35.0337,0
35.0631,0
35.0835,0
35.1058,0
35.1232,0
35.1497,0
35.1632,0
35.1737,0
35.2033,0
35.2140,0
35.2429,0
35.2539,0
35.2834,0
35.3033,0
35.3134,0
35.3338,0
35.3538,0
35.3833,0
35.3932,0
35.4299,0
35.4338,0
35.4698,43
35.4832,114
35.5097,180
35.5233,207
35.5338,254
35.5630,254
35.5740,254
35.6059,254
35.6233,254
35.6429,254
35.6564,254
35.6738,254
35.7031,254
35.7137,254
35.7431,254
35.7540,254
35.7833,254
35.7940,254
35.8300,254
35.8339,254
35.8528,254
35.8833,254
35.8937,254
35.9300,254
35.9336,254
35.9630,254
35.9833,254
36.0057,254
36.0231,254
36.0497,254
36.0631,254
36.0741,254
36.0955,254
36.1298,254
36.1337,254
36.1697,254
36.1834,254
36.1939,254
36.2232,254
36.2337,254
36.2631,254
36.2744,254
36.3058,254
36.3230,254
36.3498,254
36.3559,254
36.3730,254
36.4032,254
36.4141,254
36.4429,254
36.4540,254
36.4835,254
36.5029,254
36.5300,254
36.5333,254
36.5539,254
36.5832,254
36.5936,254
36.6302,254
36.6337,254
36.6629,254
36.6833,254
36.7098,254
36.7232,254
36.7497,254
36.7630,254
36.7740,254
36.8060,254
36.8140,254
36.8429,254
36.8565,254
36.8737,254
36.9031,254
36.9137,254
36.9433,254
36.9541,254
36.9832,254
36.9940,254
37.0301,254
37.0336,254
37.0697,254
37.0833,254
37.0937,254
37.1231,254
37.1336,254
37.1630,254
37.1833,254
37.2058,254
37.2231,254
37.2498,254
37.2630,254
37.2739,254
37.3031,254
37.3141,254
37.3428,254
37.3535,254
37.3833,254
37.4032,254
37.4131,254
37.4338,254
37.4537,254
37.4834,254
37.4935,254
37.5300,254
37.5336,254
37.5699,254
37.5831,254
37.6098,254
37.6232,254
37.6337,254
37.6629,254
37.6741,254
37.7059,254
37.7232,254
37.7429,254
37.7564,254
37.7736,254
37.8030,254
37.8137,254
37.8429,254
37.8541,254
37.8831,254
37.8940,254
37.9301,254
37.9339,254
37.9697,254
37.9832,254
37.9936,254
38.0302,254
38.0335,254
38.0629,254
38.0832,254
38.1025,254
38.1137,254
38.1337,254
38.1535,254
38.1832,254
38.1941,254
38.2300,253
38.2336,231
38.2699,201
38.2833,167
38.2930,127
38.3231,82
38.3336,29
38.3630,0
38.3740,0
38.4058,0
38.4233,0
38.4427,0
38.4564,0
38.4735,0
38.5031,0
38.5141,0
38.5428,0
38.5540,0
38.5833,0
38.5936,0
38.6302,0
38.6333,0
38.6536,0
38.6832,0
38.6929,0
38.7303,0
38.7336,0
38.7629,0
38.7828,0
38.8100,0
38.8232,0
38.8499,0
38.8626,0
38.8742,0
38.9030,0
38.9136,0
38.9429,0
38.9565,0
38.9731,0
39.0031,0
39.0136,0
39.0429,0
39.0535,0
39.0832,0
39.0941,0
39.1303,0
39.1335,0
39.1700,0
39.1832,0
39.1938,0
39.2230,0
39.2337,0
39.2629,0
39.2835,0
39.3059,0
39.3228,0
39.3501,0
39.3564,0
39.3736,0
39.4031,0
39.4136,0
39.4429,0
39.4541,0
39.4832,0
39.5033,0
39.5130,0
39.5338,0
39.5537,0
39.5833,0
39.5936,0
39.6301,0
39.6336,0
39.6626,0
39.6830,0
39.7099,0
39.7231,0
39.7336,0
39.7628,0
39.7740,0
39.8060,0
